Voice Over	Previously on Agent.

Lesego	Are you gonna tell me what's bothering you?

Nina	It's just that I want to--

Jean-Pierre	... count for someone?

Lesego	What I am seeing is my girlfriend all over you.

Natalie	Why would a cop be the last person he should be with?

Lesego	Huh, you'll figure it out, you're a smart girl.

Blaze	You son of a fucking bitch.

Lesego	She wanted it man.

Jean-Pierre	You put your body in the work and I like that.

Christopher	The sponsors are threatening to pull your fee. You can drop this shit. That's on me.

Herve	I want a Jag, or a Maserati, I want my own house with a swimming pool.

Blaze	All in good time, yeah.
 

Herve	I actually thought Nigeria was crazy.

Herve	So yeah and then I saw that and I was like yo, this is, this is… crazy.

Ademola	Can I ask you a question?

Ademola	Is it true what they're saying about Mauritius?

Ademola	Did the fight actually happen? Are you guys still working together?

Ademola	Two seconds man. Yes or no?

Godi	Mila is killing it. You should see her.

Blaze	No thanks to your negotiating skills.

Godi	Aww, thank you Blaze, anyway they're shooting now, this segment in South Africa and then they fly to some tropical island for six weeks.

Blaze	And what about this director?

Godi	Well uh, I think he's playing mind games with Mila.

Blaze	I warned the both of you before you decided to take this gig. Yes?

Godi	Yeah. You did.

Blaze	I need you to fly with her to the island, just for a couple of days.

Godi	Copy that.

Blaze	To get a feel of things.

Godi	Sure.  Oh and uh, what about Christopher?

Blaze	Well, let's pretend that we've cut her loose.

Christopher	Cut who loose?

Christopher	Talking to each other, are we?

Christopher	I don't smell any deals being done.

Christopher	But I tell you what I do like.

Christopher	My phone's not being blown up for the wrong reasons.

Christopher	Mauritius has gone back to being a holiday destination and not a crime scene. 

Christopher	What did you do?

Blaze	Well, we just kept on repeating the same words... 'no comment'.

Christopher	See, you do listen to Daddy, well done my son. You too Godi...

Christopher	... and I really don't know what he'd do without you.

Blaze	So you came all the way from the top floor down to the ground, just for that?

Christopher 	Is it me you’re talking to like that ‘boss’?

Christopher	I'll come down anytime I damn well please, cos I've earned it. 

Christopher	And here's the million dollar question for you kids, what's going on with Lesego? Hmm?

Christopher	Well?

Blaze	He's in a different space right now.

Christopher	What does that even mean?

Blaze	He got red carded by Nina.

Blaze	And now she's playing wife to JP.

Blaze	I mean how would you feel Chris if you got dropped for that loser.

Christopher	You kids murder me. You hear a weather report and then you wonder why it's raining.

Christopher	She warned him... man's sloppy, innit?

Christopher	Listen, I don't care if he goes to bed crying in the foetal position as long as he gets up, gets on the pitch and delivers.

Godi	Uh, tuh-tuh.

Christopher	Performance mate.

Christopher	What?

Godi	Receptio—Yeah.

Blaze	I just want a client/agent relationship with him, you know, but every time he fucks up his life, I take the hit.

Christopher	Agents are meant to be bulletproof, mate--

Blaze	But you said I should drop him?

Christopher	Yeah I just said that for effect in front of the fucker... to shock him out of his self-sabotage funk.

Blaze	It's never worked in the past what makes you think it would work now?

Blaze	Chris, you know he's trying to destroy everything good that happens in my life.

Blaze	And this time he's taken it too far by dragging Natalie into his bullshit.

Christopher	Natalie?

Blaze	Yes.

Christopher	Natalie?

Blaze	Yes.

Christopher	So where are we exactly with this uh “Natalie situation”?

Blaze	We?

Christopher	Yes.

Blaze	Situation?

Christopher	We... we are talking about her in the past tense though yeah?

Blaze	I don't know anymore.

Christopher	She reads people for a living.

Blaze	And so what?

Christopher	So she doesn't roll up in a yellow Hummer to investigate crime like Horatio Kane.

Christopher	Which means she loves what she does. She never takes a day off Blaze, she's always on, always reading people, yeah. End it.	

Blaze	Actually, she tried ending it with me.

Christopher	Come again?

Blaze	Yeah I don’t blame her after the way I behaved in Mauritius. 

Christopher	Then what are we uh... even arguing about mate? You've got your out.

Blaze	The problem is, I don't want an out

Christopher	That's a big problem, isn’t bruv? Huge.

Blaze	Yeah and I'm sitting here thinking to myself, why do I feel like I need to explain myself to you... you're not even my father.

Christopher	Hmmm…

Christopher	We all know who your father is Blaze... those are small shoes to fill.

Christopher	Look, I'm not trying to uh police who you hook up with, but there're plenty of women in this fucking city.	

Christopher	Women we don't have to worry about.

Christopher	I'll hook you up. Give you a number.

Blaze	Given, it's a risk. It's risky.

Christopher	The word is ‘suicidal’.

Blaze	But if I let her walk, it will kill me even more.

Christopher	Listen, you've heard what I have to say, you know my position. Let's move on... to the future.

Christopher	To the one shining light in this ocean of bullshit.

Christopher	Herve fucking Toure mate. Come on.

Blaze	Herve…

Christopher	Yeah don't play it down, you know he's special.

Christopher	'Once in a generation player'. You heard it here first.

Fanta	Hello.

Herve	Hello. I remember you from..?

Fanta	Umm, we spoke the other night downstairs?

Fanta	I was walking by waiting for my Uber. You gave me your room number.

Fanta	I'm also French remember?

Herve	Oh.

Fanta	My name's Fanta. 

Herve 	Oh, yes, like the drink.

Fanta	Only I taste better?

Herve	Okay.

Fanta	You are becoming a star. 

Herve	Excuse me for not inviting you in.

Blaze	Oh yeah, his form has been impressive lately and him starting the last three matches is a sign of greater things to come…

Christopher	But?

Blaze	But these kids think that they invented Rock & Roll. They don't get that, that we get it, you know.

Blaze	You've got money in your pocket and women are throwing themselves at you, next thing, everyone's opening doors for you.

Blaze	You get super excited and then boom!

Christopher	I know how the story ends mate.

Blaze	Yeah but they don't listen, they never listen.

Blaze	He wants to go pick up a new whip this afternoon.

Christopher	Hmm. German or Italian?

Blaze	Over-priced that's what it is. I've been dodging him for... all this time but now he's throwing his 

toys.	

Blaze	Look rides have got a price. That we can handle.

Blaze	What we can't handle are the groupies and the gold-diggers.

Blaze	I mean, he's gonna be walking around with these big balls, everyone is just gonna be stroking them.	

Christopher	Do your job.

Blaze	I'm worried Chris. It's too much too soon.

Christopher	Curb his enthusiasm and don't fuck with his zone.

Blaze	Hmm.

Blaze	Why didn't I think of that?

Fanta	I'm not as easy as the others. I have standards. 

Fanta	If you want to get off with me, you need to put in the time. 

Fanta	First you pick me up in your own car, so my parents can see you're someone serious...

Fanta	... and then we take it from there.

Herve	And after I pick you up? 

Christopher	Look mate, as agents we don't always get that kid?

Christopher	Do you know what I mean?

Christopher	And we found something special here so stop fucking bitching.

Blaze	We? Walter's the genius here for playing him at a false number nine. 

Blaze	Me? I discovered him and I dug him up. You? I remember you complaining and bitching about how expensive tickets are to West Africa.

Christopher	I don't have time for I 'remember  when'.

Christopher 	What's happening with Zoe and Vuyo? I'm surprised his muscles haven't atrophied, he's been on the bench for the last six matches hasn't he?

Christopher	Jesus Christ, I mean what the fuck's going on?

Blaze	I don’t know.

Christopher	Alright. Look, you keep a leash on Lesego and Herve tonight at the match, and I'll go and sort out this mess with Zoe Zante, yeah?

Blaze	Zoe Zante can't be reasoned with.

Blaze	Ask me I've tried, for the past six weeks with that woman. How are you going to get her to play him?

Christopher	That's my problem. Look, I go to Apollo, you go to Marlboro and cheer-lead.

Blaze	Are you sure?

Christopher	I was born sure.

Christopher	Oh and Blaze, that um, actress... 

Christopher	... the African Theresa Russell, or whatever, alright listen, I hope you told her there's no shame in waitressing for a living and then shown her the door, yeah?

Christopher	Oh and Blaze, only if Rosario Dawson or Eva Mendes call saying they need repping, otherwise forget that shit.

Mila	Is Blaze in there?

Godi	Mila, come on! Mi-Mi...

Godi	Well I tried to... uh oh well. 

Mila	This is what it takes to get a sit down with you?

Blaze	I'm in the middle of something--

Mila	You're always in the middle of something Blaze.

Mila	I need to talk to you and not on the phone and not through Godi either.

Mila	I don't know if you've noticed, but I've already started shooting my first lead role in a film.

Mila	Now your other clients can kick a ball, okay. What about me?

Mila	What about when I'm when I'm working the red carpet for the big one.

Mila	Where are you gonna be?

Mila	I know where Godi is going to be, she's gonna be right there next to me.

Blaze	Look, I'm sorry, maybe taking you on was a mistake. My mistake.

Blaze	I don't know anything about your industry, alright, and I--

Christopher	And... people in our industry all have something special.

Christopher	Whether it's football or flicks. Handle your business son. This one's going to be doing big things.

Blaze	What?

Christopher	You're meant to be her agent and here she is telling you what she thinks face to face.

Christopher	That takes guts. Guts is enough.

Blaze	I have no idea what just happened. 

Blaze	Babycakes, what's wrong?

Godi	Let me leave you two to talk.

Blaze	Thanks.

Mila	It's my dad... 

Blaze	Oooh.

Mila	He wants me to drop this acting dream and go back to the Congo...

Mila	... pick up my true "calling" again.

Blaze	But Uncle Greg has always treated you like this. Ever since you were a little girl.

Blaze	I mean, there's nothing new about that.

Mila	Yeah, except now he says things like 'those who are touched don't seek the limelight'.

Mila	Ja. My mom, she seems to think that this industry is gonna screw with my head...

Mila	... speaking of screw, she also seems to think that every single guy is gonna want to... get into my pants.

Blaze	Hmm. Look, but she's not wrong. 

Blaze	I mean, I know nothing about your industry, but I've seen the news lately, alright, and I know what guys with positions of power are capable of doing.

Blaze	Mila, you are my babycakes, don't let it go down a road where you feel it's gonna be hard to say no.

Blaze	Okay? Now show me some love. 

Blaze	Come on, let's bury this. Yes? Yes, I know you want to. Bring it in, uh huh.

Blaze	There we go.

Blaze	Here we go, alright. Now just remember don't be too ignorant when it comes to your selection.

Herve	That’s the shit.

Herve	I run the town with that baby.

Blaze	Perhaps but this is not a baby, it's a beast.

Blaze	It chows petrol just idling.

Blaze	Remember you want reliable, before you go for sexy.

Herve	Dude, but if you just worry about the money... it's fine.

Herve	I'm just going to score more goals. More money.

Blaze	I'm worried about the principle.

Blaze	It's called fiscal discipline.

Herve	Hmm?

Blaze	You wanna eat right, after you retire?

Herve	Come on man. I'm still a baby.  

Herve	I don't want to become old when I drive my first Ferrari.

Blaze	Now why does that sound like Lesego?

Herve	James Bond. Dude, I can definitely do this.

Blaze	My first car was a Mazda 323. Now that baby was...

Blaze	Look, Herve, Herve, you need to become the smarter version of you, now, alright?

Blaze	I wish I had made different choices.

Blaze	You don't want to become another statistic where white people laugh at black athletes and call it 'new money’, right?

Blaze	Five cars, no house. Hey. Herve?

Herve	What? 

Herve	Dude... I make bonuses.

Herve	What is it,  hat-trick, plus two. You know I got skills, we going to make more money.

Blaze	I know, that's why I signed you. But look, you need to focus on tonight.

Blaze	The cars, they'll still be here tomorrow.

Herve	That one.

Walter	Hau.

Walter	Hey son. 

Blaze	How are you sir?

Walter	Me? I’m like an old man that has lost his mind.

Walter	I must have.

Walter	I’m still in this business. 

Blaze	If you were to leave this business, what else would you be living for?

Walter	You know, I never thought much of your kind.

Blaze	My kind? 

Walter	Agents. Especially when you all started spreading like weeds. 

Walter	Ruining the game we worked hard to create.  

Blaze	But sir, you know I’m not one for corruption.

Walter	I know you would never do that my boy.

Walter	You know... 

Walter	... our investments are not like most people’s. 

Walter	Ours are not bonds or shares, ours are these boys with nothing but talent, that they want to show off on the field.

Walter	With nothing but... 

Walter	... what they can do out there. 

Walter	They get a taste for more and our investment gets riskier, you understand.

Walter	These boys that still want to have a good time, we know it’s a risk, but you understand.

Blaze	I understand perfectly.

Walter	It’s like this boy of yours, what’s his name... He... 

Walter	Herve! Yes, he is still in a bubble, take care of him, he’s rare. 

Walter	But if you were to ask experienced folk like myself... 

Walter	... a bubble can burst in one season. 

Blaze	That’s the problem with a bubble, it can easily burst... 

Blaze	... but when you’re sitting inside the bubble and you look up into the sky... 

Blaze	... your mind wonders. 

Walter	You know...

Walter	Everything you see... it won’t last.

Walter	Not in the same way.

Blaze	Is there something troubling you, sir?

Walter	Son, always be on the lookout for when things turn, and they seem to be coming at you in reverse...	

Walter	... stay focused.

Phumlani	Makhosi.

Phumlani	I know that CAF banned the use of muthi in our games.

Phumlani	However, the problem Makhosi is that...

Phumlani	... my father fired our Sangoma years ago...

Phumlani	... because he lost faith in our traditions.

Phumlani 	I don’t know, it was his way of thinking that shifted.

Phumlani	He just became too Westernized.

Phumlani	You can see for yourself that nothing of ours is working out.

Olipha	The team has been cursed. 

Phumlani	Makhosi. 

Phumlani	I don’t even remember, when was the last time we won silverware.

Phumlani	It’s by no coincidence.

Olipha	Allow me to consult with the ancestors.

Phumlani	That’s why I called you Makhosi.

Phumlani	I heard only great things about your time at Kwamashu Devils? 

Olipha	It was good times when I was there. Dark times now that I have left.

Phumlani	I believe Makhosi that you will help me bring about change in the club.

Phumlani	But Makhosi... 

Phumlani	We must remain discreet.

Olipha	Yes, I will drift in and out like a spirit.

Phumlani	There’s a secret door at the office, do you remember me telling you about it?

Olipha	Yes, like a spirit.

Phumlani	Soon enough Makhosi you will not have to hide. Soon Makhosi, they will applaud you for making things right with our ancestors.

Olipha	I am a servant of the ancestors and this club.

Christopher	There he is, Tony Stark!

Vuyo	What?

Christopher	Iron man. 

Christopher	Over one hundred appearances and you haven’t got a scratch on you.

Vuyo	You can't get hurt on the bench, Chris.

Vuyo	And it's 99 appearances without a scratch.

Christopher	Look, I know how you feel mate.

Vuyo	You don't know shit man.

