Voice Over	Previously on Agent.

Ademola	Can I ask you a question?

Ademola	Is it true what they're saying about Mauritius?

Ademola	Did the fight actually happen?

Ademola	Are you guys still working together? Two seconds man.

Blaze	And what about this director?

Godi	Well I think he's playing mind games with Mila.

Blaze	I warned the both of you before you decided to take this gig.

Christopher	You're meant to be her agent and here she is telling you what she thinks face to face.

Christopher	She reads people for a living.

Blaze	And so what?

Christopher	So she doesn't roll up in a yellow hummer to investigate crime like Horatio Kane, which means she's always on, always reading people, yeah.

Blaze	Actually, she tried ending it with me.

Christopher	So what's it gonna take for the kid to play tonight?

Zoe	Uh uh, don't speak to me, speak to Santiago.

Christopher	We both know you pick the team sheet.

Blaze	Your nose you fucking idiot!

Lesego	Oh, haha, that's why you still my guy.

Olipha	I am a servant of  the ancestors and this club. 

Christopher	So uh, we have a deal?

Zoe	Well if you must know, I was always going to start with Vuyo tonight.

Godi	Vuyo was selected tonight.

Blaze	Thank God.

Lesego	When I score, they love me. Forty thousand people... love me! That's all that matters Blaze.

Natalie	Are you ready to tell me the truth about Lesego and whatever it is that you're protecting him from?

Natalie	I shared parts of myself with you I thought I buried.

Walter	Always stay focused. 

Christopher	Pack a bag bruv. We going to Cape Town. Football expo.

Automated Voice	The number you have dialled has been disconnected or is no longer in service, please check the number and dial again-
Automated Voice	The number you have dialled has been disconnected or is no longer in service, please check the number and dial again-
Blaze	Football Expo? Chris don't waste my time with that, come on.

Christopher	Are you kidding me bruv?

Christopher	Everyone who is anyone worth their salt will be there.

Christopher	Agents, club bosses, heads of state mate, very powerful women...

Christopher	... and more importantly people that are ready to invest in the very lucrative business, we call our own.
Blaze	Yeah and you had to come and tell me this at quarter to five in the morning?

Christopher	Yeah. You’ve got an hour to pack, shower and make me some coffee.

Christopher	We have an appointment with a Chinese Billionaire. Capital 'B'.

Blaze	Look, I don't know Chris. I got fires to put out. Read: Lesego and Herve.

Christopher	It's one day in the mother city. What can they get up to in that time?

Blaze	Let me see... Lesego's pulling a Jabu Pule, Herve's an Ivorian who thinks that he's a demi-god.

Christopher	Godi can handle that in her sleep. In fact, she already has, I've briefed her mate. She's on it.

Christopher	You can sleep on the plane.

Blaze	Your plane?

Christopher	Bird's in Zanzibar on some other business.

Christopher	We catching a ride on a charter.

Christopher	But wait for it, guess who's gonna be at the event. Bay Crystal.

Blaze	Okay.

Christopher	Okay? Okay’s all I get? Two time Academy award winning actress.

Christopher	I think she's bigger than Charlize now.

Blaze	So you are selling me this on Bay Crystal?

Christopher	No bruv, I'm selling it to you on your future.

Christopher	Do you really wanna spend the rest of your career baby-sitting a narcissist, a bench-warmer and a wannabe teenager?

Christopher	Look, she might even be able to help out your mate Mila.

Blaze	Right, the same Mila you wanted me to cut loose?

Christopher	Yeah, same one. Maybe she's got something.

Christopher	But more importantly, opportunity knocks.

Christopher	Success beckons. Your sports management empire awaits.

Blaze	Aye aye captain. I’m on it.

Christopher	That's more like it.

Khensi	Um hmm. One for the road?

Lesego	Yeah well maybe something.

Khensi	You know a cap and a hoodie don't hide the fact that you're Lesego Moleko.

Khensi	Dude, it's not something to be ashamed of. Everyone in this country loves you.	

Lesego	Thank, thank you for that.

Khensi	Uh huh, I never figured you to be the shy type.

Khensi	And now for a line for good measure.

Lesego	A line of what…?

Khensi	Okay we’ve got two lines here, so let's make the most of it-

Lesego	What?!

Khensi 	What?

